adm1_code,adm1_name,area_km2,zone_px,n_muni
1420,Atlantida,3870.15,4094,7
1421,Choluteca,4420.59,4637,16
1422,Colon,8955.14,9480,10
1423,Comayagua,4926.14,5186,21
1424,Copan,3343.5,3530,23
1425,Cortes,3945.36,4176,12
1426,Francisco Morazan,8556.27,8988,29
1427,Gracias A Dios,16447.85,17357,2
1428,Intibuca,3091.88,3245,16
1429,Islas De Bahia,220.93,229,4
1430,La Paz,2406.14,2534,19
1431,Lempira,4201.75,4417,27
1433,Ocotepeque,1624.59,1706,16
1434,Olancho,25609.51,26958,23
1435,Paraiso,6026.4,6318,18
1436,Santa Barbara,5089.07,5363,27
1437,Valle,1597.27,1674,9
1438,Yoro,7787.9400000000005,8225,11
