adm2_code,adm2_name,adm1_code,adm1_name,area_km2,zone_px
17209,Arizona,1420,Atlantida,492.39,521
17210,El Porvenir,1420,Atlantida,295.27,310
17211,Esparta,1420,Atlantida,479.67,508
17212,La Ceiba,1420,Atlantida,661.36,704
17213,La Masica,1420,Atlantida,471.21,498
17214,San Francisco,1420,Atlantida,285.1,302
17215,Tela,1420,Atlantida,1185.15,1251
17216,Apacilagua,1421,Choluteca,215.18,223
17217,Choluteca,1421,Choluteca,1093.34,1140
17218,Concepcion De Maria,1421,Choluteca,161.66,169
17219,Duyure,1421,Choluteca,105.08,113
17220,El Corpus,1421,Choluteca,237.83,247
17221,El Triunfo,1421,Choluteca,299.2,312
17222,Marcovia,1421,Choluteca,499.67,523
17223,Morolica,1421,Choluteca,275.02,289
17224,Namasigue,1421,Choluteca,208.24,222
17225,Orocuina,1421,Choluteca,118.32,128
17226,Pespire,1421,Choluteca,340.3,357
17227,San Antonio De Flores,1421,Choluteca,51.76,56
17228,San Isidro,1421,Choluteca,66.71,71
17229,San Jose,1421,Choluteca,64.23,65
17230,San Marcos De Colon,1421,Choluteca,609.74,642
17231,Santa Ana De Yusguare,1421,Choluteca,74.31,80
17232,Balfate,1422,Colon,939.55,996
17233,Bonito Oriental,1422,Colon,514.12,543
17234,Iriona,1422,Colon,3917.01,4149
17235,Limon,1422,Colon,632.29,675
17236,Saba,1422,Colon,363.85,380
17237,Santa Fe,1422,Colon,188.43,198
17238,Santa Rosa De Aguan,1422,Colon,129.51,138
17239,Sonaguera,1422,Colon,446.81,475
17240,Tocoa,1422,Colon,895.04,948
17241,Trujillo,1422,Colon,928.53,978
17242,Ajuterique,1423,Comayagua,58.95,64
17243,Comayagua,1423,Comayagua,791.44,835
17244,El Rosario,1423,Comayagua,274.57,285
17245,Esquias,1423,Comayagua,369.31,391
17246,Humuya,1423,Comayagua,48.68,52
17247,La Libertad,1423,Comayagua,300.82,323
17248,La Trinidad,1423,Comayagua,90.7,96
17249,Lamani,1423,Comayagua,306.66,319
